,Scientific name,Common name,Class,WA listing,National listing,Kimberley,Pilbara,Goldfields,Midwest,Wheatbelt,South Coast,Swan,South West,Warren,WA listing.1,Notes
171,Ctenotus zastictus,Hamelin ctenotus,REPTILE,VU,VU,,,,X,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
172,Cuculus optatus,oriental cuckoo,BIRD,MI,MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
173,Cyclodomorphus branchialis,gilled slender blue-tongue,REPTILE,VU,,,,,X,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
174,Cyliosoma sarahae,Sarah's pill millipede,INVERTEBRATE,VU,,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
175,Cynotelopus notabilis,Western Australian pill millipede,INVERTEBRATE,EN,,,,,,,X,,,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
176,Damochlora millepunctata,a camaenid land snail (Admiralty Gulf),INVERTEBRATE,P1,,X,,,,,,,,,DBCA Priority species.,
177,Damochlora spina,a camaenid land snail (Kalumburu),INVERTEBRATE,P3,,X,,,,,,,,,DBCA Priority species.,
178,Daphnia jollyi,a water flea (inland south west),INVERTEBRATE,P1,,,,,X,X,X,,,,DBCA Priority species.,
179,Daphnia occidentalis,a water flea (Karri forests),INVERTEBRATE,P3,,,,,,,,,,X,DBCA Priority species.,
180,Dasycercus blythi,brush-tailed mulgara,MAMMAL,P4,,X,X,X,X,,,,,,DBCA Priority species.,
181,Dasycercus cristicauda,"crest-tailed mulgara, Minyiminyi",MAMMAL,P4,,X,X,X,X,,,,,,DBCA Priority species.,
182,Dasyornis broadbenti litoralis,rufous bristlebird,BIRD,EX,EX,,,,,,,,,,Extinct species under the Biodiversity Conservation Act 2016.,
183,Dasyornis longirostris,western bristlebird,BIRD,EN,EN,,,,,,X,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
184,Dasyurus geoffroii,"chuditch, western quoll",MAMMAL,VU,VU,,,X,X,X,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
185,Dasyurus hallucatus,northern quoll,MAMMAL,EN,EN,X,X,X,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
186,Delma concinna major,javelin legless lizard (Shark Bay),REPTILE,P1,,,,,X,,,,,,DBCA Priority species.,
187,Dermochelys coriacea,leatherback turtle,REPTILE,VU,EN & MI,X,X,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
188,Diomedea amsterdamensis ,Amsterdam albatross,BIRD,CR,EN & MI,,,,X,,,X,X,X,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,"30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. Second scientific name, Diomedea exulans amsterdamensis, removed from Order. "
189,Diomedea antipodensis,Antipodean albatross,BIRD,MI,VU & MI,,,,,,X,,,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
190,Diomedea antipodensis gibsoni,Gibson's albatross,BIRD,EN,VU,,,,,,X,,,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,"30/09/2022 Second scientific name, Diomedea exulans gibsoni, removed from Order. "
191,Diomedea dabbenena,Tristan albatross,BIRD,CR,EN & MI,,,,,,X,X,X,X,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,"30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. Second scientific name, Diomedea exulans dabbenena, removed from Order. "
192,Diomedea epomophora,southern royal albatross,BIRD,VU,VU & MI,,,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
193,Diomedea exulans,wandering albatross,BIRD,VU,VU & MI,,,,,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
194,Diomedea sanfordi,northern royal albatross,BIRD,EN,EN & MI,,,,X,,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
195,Diplodactylus capensis,Cape Range stone gecko,REPTILE,P2,,,X,,,,,,,,DBCA Priority species.,
196,Diplodactylus fulleri,Lake Disappointment ground gecko,REPTILE,P1,,,X,X,,,,,,,DBCA Priority species.,
197,Diplodactylus kenneallyi,Kenneally's gecko (Lake Buchanan),REPTILE,P2,,,,X,,,,,,,DBCA Priority species.,
198,Diporiphora convergens,Crystal Creek two-lined dragon,REPTILE,P2,,X,,,,,,,,,DBCA Priority species.,
199,Draculoides bramstokeri,Barrow Island draculoides,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
200,Draculoides brooksi,northern Cape Range draculoides,INVERTEBRATE,EN,,,X,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
201,Draculoides julianneae,western Cape Range draculoides,INVERTEBRATE,EN,,,X,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
202,Draculoides mesozeirus,Middle Robe draculoides,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
203,Dugong dugon,dugong,MAMMAL,MI,MI,X,X,,X,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
204,Dupucharopa millestriata,Depuch Island charopid land snail,INVERTEBRATE,P2,,,X,,,,,,,,DBCA Priority species.,
205,Egernia stokesii badia,western spiny-tailed skink,REPTILE,VU,EN,,,,X,X,,X,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
206,Egernia stokesii stokesii,Houtman Abrolhos spiny-tailed skink,REPTILE,P4,,,,,X,,,,,,DBCA Priority species.,
207,Elanus scriptus,letter-winged kite,BIRD,P4,,X,X,,X,X,X,X,X,,DBCA Priority species.,
208,Elapognathus minor,short-nosed snake,REPTILE,P2,,,,,,,X,,X,X,DBCA Priority species.,
209,Engaewa pseudoreducta,Margaret River burrowing crayfish,INVERTEBRATE,CR,CR,,,,,,,,X,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
210,Engaewa reducta,Dunsborough burrowing crayfish,INVERTEBRATE,EN,CR,,,,,,,,X,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
211,Engaewa walpolea,Walpole burrowing crayfish,INVERTEBRATE,EN,EN,,,,,,,,,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
212,Eretmochelys imbricata,hawksbill turtle,REPTILE,VU,VU & MI,X,X,,X,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
213,Erythrotriorchis radiatus,red goshawk,BIRD,VU,VU,X,,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
214,Erythrura gouldiae,Gouldian finch,BIRD,P4,EN,X,,,,,,,,,DBCA Priority species.,
215,Eubalaena australis,southern right whale,MAMMAL,VU,EN & MI,,X,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
216,Euoplos inornatus,inornate trapdoor spider (northern Jarrah Forest),INVERTEBRATE,P3,,,,,,,,X,,,DBCA Priority species.,
217,Falco hypoleucos,grey falcon,BIRD,VU,,X,X,X,X,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
218,Falco peregrinus,peregrine falcon,BIRD,OS,,X,X,X,X,X,X,X,X,X,Specially protected species - Species otherwise in need of special protection (other specially protected) under the Biodiversity Conservation Act 2016.,
219,Falcunculus frontatus whitei,crested shrike-tit (northern),BIRD,P3,VU,X,,,,,,,,,DBCA Priority species.,
220,Falsistrellus mackenziei,"western false pipistrelle, western falsistrelle",MAMMAL,P4,,,,,,X,X,X,X,X,DBCA Priority species.,
221,Fibulacamptus bisetosus,a non-marine Harpacticoid copepod (Muirillup Rock),INVERTEBRATE,P2,,,,,,,,,,X,DBCA Priority species.,
222,Fregata andrewsi,Christmas Island frigatebird,BIRD,MI,EN & MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Second common name removed. 
223,Fregata ariel,lesser frigatebird,BIRD,MI,MI,X,X,,X,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
224,Fregata minor,great frigatebird,BIRD,MI,MI,X,,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
225,Galaxias truttaceus (Western Australian population),"western trout minnow, western spotted galaxias",FISH,EN,EN,,,,,,X,,,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,30/09/2022 Order made under section 9 of the BC Act.
226,Galaxiella munda,"mud minnow, western dwarf galaxias",FISH,VU,,,,,,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
227,Galaxiella nigrostriata,"black-stripe minnow, black-striped dwarf galaxias",FISH,EN,EN,,,,,,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
228,Gallinago hardwickii,Latham's snipe,BIRD,MI,MI,,,,,,,X,X,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Second common name removed. 
229,Gallinago megala,Swinhoe's snipe,BIRD,MI,MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
230,Gallinago stenura,pin-tailed snipe,BIRD,MI,MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
231,Gelochelidon nilotica,gull-billed tern,BIRD,MI,MI,X,X,X,X,,X,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
232,Geocrinia alba,white-bellied frog,AMPHIBIAN,CR,CR,,,,,,,,X,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
233,Geocrinia lutea,Nornalup frog,AMPHIBIAN,P4,,,,,,,,,,X,DBCA Priority species.,
234,Geocrinia vitellina,orange-bellied frog,AMPHIBIAN,VU,VU,,,,,,,,X,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
235,Geophaps smithii blaauwi,partridge pigeon (western),BIRD,VU,VU,X,,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
236,Geophaps smithii smithii,partridge pigeon (eastern),BIRD,P4,VU,,,,,,,,,,DBCA Priority species.,
237,Geotria australis,pouched lamprey,FISH,P3,,,,,,X,X,X,X,X,DBCA Priority species.,
238,Glacidorbis occidentalis,Jarrah forest freshwater snail,INVERTEBRATE,P3,,,,,,,,X,X,,DBCA Priority species.,
239,Glareola maldivarum,oriental pratincole,BIRD,MI,MI,X,X,X,X,,X,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
240,Glossurocolletes bilobatus,a short-tongued bee (southwest),INVERTEBRATE,P2,,,,,,,X,X,,,DBCA Priority species.,
241,Glyphis garricki,northern river shark,FISH,P1,EN,X,,,,,,,,,DBCA Priority species.,
242,Hadra wilsoni,Wilson's camaenid land snail (Prince Regent),INVERTEBRATE,P2,,X,,,,,,,,,DBCA Priority species.,
243,Hannia greenwayi,Greenway's grunter,FISH,P1,,X,,,,,,,,,DBCA Priority species.,
244,Helicarion castanea,a helicarionid land snail,INVERTEBRATE,EX,,,,,,,X,,,,Extinct species under the Biodiversity Conservation Act 2016.,
245,Hemisaga lucifer,Devil's Slide katydid (Porongorup),INVERTEBRATE,P2,,,,,,,X,,,,DBCA Priority species.,
246,Hemisaga vepreculae,thorny bush katydid (Moora),INVERTEBRATE,P2,,,,,X,,,,,,DBCA Priority species.,
247,Hephaestus epirrhinos,long-nose sooty grunter,FISH,P2,,X,,,,,,,,,DBCA Priority species.,
248,Hesperocolletes douglasi,Douglas's broad-headed bee,INVERTEBRATE,CR,CR,,,,,,,X,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
249,Hipposideros stenotis,northern leaf-nosed bat,MAMMAL,P2,,X,,,,,,,,,DBCA Priority species.,
250,Hirundapus caudacutus,white-throated needletail,BIRD,MI,VU & MI,X,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,"30/09/2022 Second scientific name, Chaetura caudacuta, added to Order, as it applies to the listing under international agreements."
251,Hirundo rustica,barn swallow,BIRD,MI,MI,X,X,,X,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
252,Hurleya sp. (WAM C23193),Crystal Cave crangonyctoid,INVERTEBRATE,CR,,,,,,,,X,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,30/09/2022 Second common name removed. 
253,Hydrobates matsudairae,Matsudaira's storm-petrel,BIRD,MI,MI,X,,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
254,Hydrobates monorhis,Swinhoe's storm-petrel,BIRD,MI,MI,X,,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
255,Hydromys chrysogaster,"water-rat, rakali",MAMMAL,P4,,X,X,,X,X,X,X,X,X,DBCA Priority species.,
256,Hydroprogne caspia,Caspian tern,BIRD,MI,MI,X,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
257,Hylaeus globuliferus,woolybush bee,INVERTEBRATE,P3,,,,,X,X,X,X,,,DBCA Priority species.,
258,Hypseleotris aurea,golden gudgeon,FISH,P2,,,,,X,,,,,,DBCA Priority species.,
259,Ideoblothrus linnaei,Linnaeus' pseudoscorpion (Mesa A),INVERTEBRATE,P1,,,X,,,,,,,,DBCA Priority species.,
260,Ideoblothrus sp. 'Mesa A' (WAM T81374),an Ideoblothrus pseudoscorpion (Mesa A),INVERTEBRATE,P1,,,X,,,,,,,,DBCA Priority species.,
261,Idiosoma arenaceum,Geraldton Sandplain shield-backed trapdoor spider,INVERTEBRATE,P3,,,,,X,,,,,,DBCA Priority species.,
262,Idiosoma castellum,tree-stem trapdoor spider,INVERTEBRATE,P4,,,,X,X,X,,,,,DBCA Priority species.,13/06/2022 Genus name changed from Aganippe to Idiosoma following Rix et al. 2017.
263,Idiosoma clypeatum,northern shield-backed trapdoor spider,INVERTEBRATE,P3,,,,,,,,,,,DBCA Priority species.,
264,Idiosoma dandaragan,Dandaragan Plateau shield-backed trapdoor spider,INVERTEBRATE,P2,,,,,X,X,,X,,,DBCA Priority species.,
265,Idiosoma formosum,ornate shield-backed trapdoor spider,INVERTEBRATE,EN,,,,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
266,Idiosoma gardneri,Mt Lesueur shield-backed trapdoor spider,INVERTEBRATE,P2,,,,,,,,,,,DBCA Priority species.,
267,Idiosoma gutharuka,Gutha Pintharuka shield-backed trapdoor spider,INVERTEBRATE,P1,,,,,X,,,,,,DBCA Priority species.,
268,Idiosoma incomptum,Carnarvon shield-backed trapdoor spider,INVERTEBRATE,P3,,,,,X,,,,,,DBCA Priority species.,
269,Idiosoma intermedium,Coolgardie shield-backed trapdoor spider,INVERTEBRATE,P3,,,,X,,,,,,,DBCA Priority species.,
270,Idiosoma kopejtkaorum,Lake Goorly shield-backed trapdoor spider,INVERTEBRATE,EN,,,,,,X,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
271,Idiosoma kwongan,Kwongan heath shield-backed trapdoor spider,INVERTEBRATE,P1,,,,,X,X,,,,,DBCA Priority species.,
272,Idiosoma mcclementsorum,Julimar shield-backed trapdoor spider,INVERTEBRATE,P2,,,,,,X,,X,,,DBCA Priority species.,
273,Idiosoma mcnamarai,Central-eastern Wheatbelt shield-backed trapdoor spider,INVERTEBRATE,P1,,,,,,X,,,,,DBCA Priority species.,
274,Idiosoma nigrum,shield-backed trapdoor spider,INVERTEBRATE,EN,VU,,,X,X,X,,X,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
275,Idiosoma schoknechtorum,Mortlock River shield-backed trapdoor spider,INVERTEBRATE,P3,,,,,,,,,,,DBCA Priority species.,
276,Idiosoma sigillatum,Swan Coastal Plain shield-backed trapdoor spider,INVERTEBRATE,P3,,,,,,,,X,X,,DBCA Priority species.,
277,Indohya damocles,Cameron's Cave pseudoscorpion,INVERTEBRATE,CR,,,X,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
278,Isoodon auratus auratus,"golden bandicoot (mainland), wintarru",MAMMAL,VU,VU,X,X,X,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
279,Isoodon auratus barrowensis,Barrow Island golden bandicoot,MAMMAL,VU,VU,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
280,Isoodon fusciventer,"quenda, southwestern brown bandicoot",MAMMAL,P4,,,,,X,X,X,X,X,X,DBCA Priority species.,
281,Isurus oxyrinchus,shortfin mako,FISH,MI,MI,,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
282,Isurus paucus,longfin mako,FISH,MI,MI,,X,,X,,,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
283,Ixalodectes flectocercus,Beverley shield-back,INVERTEBRATE,P3,,,,,,X,,,,,DBCA Priority species.,
284,Ixobrychus dubius,Australian little bittern,BIRD,P4,,X,,,,,X,X,X,X,DBCA Priority species.,
285,Ixobrychus flavicollis australis (southwest subpopulation),black bittern (southwest subpopulation),BIRD,P2,,,,,,,X,X,X,X,DBCA Priority species.,
286,Jalmenus aridus,"inland hairstreak, desert blue butterfly",INVERTEBRATE,P1,,,,X,,,,,,,DBCA Priority species.,
287,Kawaniphila pachomai,grey vernal katydid (southwest),INVERTEBRATE,P1,,,,,,,,X,X,,DBCA Priority species.,
288,Kimberleyeleotris hutchinsi,Mitchell gudgeon,FISH,P2,,X,,,,,,,,,DBCA Priority species.,
289,Kimberleyeleotris notata,Drysdale gudgeon,FISH,P2,,X,,,,,,,,,DBCA Priority species.,
290,Kimboraga exanimus,lifeless camaenid land snail (Prince Regenet),INVERTEBRATE,P3,,X,,,,,,,,,DBCA Priority species.,
291,Kimboraga micromphala,a camaenid land snail (Windjana and Geiki Gorges),INVERTEBRATE,P2,,X,,,,,,,,,DBCA Priority species.,
292,Kimboraga yammerana,Yammera Gap camaenid land snail (Napier Range),INVERTEBRATE,P1,,X,,,,,,,,,DBCA Priority species.,
293,Kumonga exleyi,Cape Range remipede,INVERTEBRATE,CR,VU,,X,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
294,Kwonkan eboracum,Yorkrakine trapdoor spider,INVERTEBRATE,CR,,,,,,X,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
295,Kwonkan moriartii,Moriarty's trapdoor spider,INVERTEBRATE,P2,,,,X,,,,,,,DBCA Priority species.,
296,Lagenodelphis hosei,Fraser's dolphin,MAMMAL,MI,MI,X,X,,X,,,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
297,Lagenorhynchus obscurus,dusky dolphin,MAMMAL,MI,MI,,,,,,X,,,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
298,Lagorchestes asomatus,"central hare-wallaby, kuluwarri",MAMMAL,EX,EX,X,X,,,,,,,,Extinct species under the Biodiversity Conservation Act 2016.,
299,Lagorchestes conspicillatus conspicillatus,Barrow Island spectacled hare-wallaby,MAMMAL,VU,VU,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
300,Lagorchestes conspicillatus leichardti,spectacled hare-wallaby (mainland),MAMMAL,P4,,X,X,,,,,,,,DBCA Priority species.,
301,Lagorchestes hirsutus bernieri,"Shark Bay rufous hare-wallaby, rufous hare-wallaby (Bernier and Dorre Islands)",MAMMAL,VU,VU,,,,X,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
302,Lagorchestes hirsutus hirsutus,rufous hare-wallaby (south-western),MAMMAL,EX,EX,,,,X,X,X,,,,Extinct species under the Biodiversity Conservation Act 2016.,
303,Lagorchestes hirsutus subsp. (Central Australia),"rufous hare-wallaby (Central Australia), mala",MAMMAL,EN,EN,,X,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
304,Lagostrophus fasciatus fasciatus,"banded hare-wallaby, mernine",MAMMAL,VU,VU,,,,X,X,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
305,Lagynochthonius asema,Mesa A Lagynochthonius pseudoscorpion,INVERTEBRATE,P1,,,X,,,,,,,,DBCA Priority species.,
306,Lamna nasus,"porbeagle, mackerel shark",FISH,MI,MI,,,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
307,Leggadina lakedownensis,"northern short-tailed mouse, Lakeland Downs mouse, kerakenga",MAMMAL,P4,,X,X,,,,,,,,DBCA Priority species.,
308,Leiopotherapon aheneus,Fortescue grunter,FISH,P4,,,X,,,,,,,,DBCA Priority species.,
309,Leiopotherapon macrolepis,large-scale grunter,FISH,P2,,X,,,,,,,,,DBCA Priority species.,
310,Leioproctus contrarius,a short-tongued bee,INVERTEBRATE,P3,,,,,,,,X,,,DBCA Priority species.,
311,Leioproctus douglasiellus,a short-tongued bee,INVERTEBRATE,EN,CR,,,,,,,X,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
312,Leipoa ocellata,malleefowl,BIRD,VU,VU,,,X,X,X,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
313,Lepidochelys olivacea,olive ridley turtle,REPTILE,EN,EN & MI,X,,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
314,Lepidogalaxias salamandroides,salamanderfish,FISH,EN,,,,,,,X,,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
315,Leporillus apicalis,lesser stick-nest rat,MAMMAL,EX,EX,,X,,X,X,X,,,,Extinct species under the Biodiversity Conservation Act 2016.,
316,Leporillus conditor,"greater stick-nest rat, wopilkara",MAMMAL,CD,VU,,,,X,,,,,,Specially protected species - Species of special conservation interest (conservation dependent) under the Biodiversity Conservation Act 2016.,
317,Lerista allochira,Cape Range slider,REPTILE,P3,,,X,,,,,,,,DBCA Priority species.,
318,Lerista axillaris,striped-sided robust slider (Kalbarri),REPTILE,P2,,,,,X,,,,,,DBCA Priority species.,
319,Lerista bunglebungle,Bungle Bungle robust slider,REPTILE,P2,,X,,,,,,,,,DBCA Priority species.,
320,Lerista eupoda,West Coast mulga slider,REPTILE,P1,,,,,X,,,,,,DBCA Priority species.,
321,Lerista haroldi,Gnaraloo mulch slider,REPTILE,P1,,,,,X,,,,,,DBCA Priority species.,
322,Lerista humphriesi,taper-tailed West Coast slider (Murchison River),REPTILE,P3,,,,,X,,,,,,DBCA Priority species.,
323,Lerista kalumburu,Kalumburu Kimberley slider,REPTILE,P2,,X,,,,,,,,,DBCA Priority species.,
324,Lerista lineata,"Perth slider, lined skink",REPTILE,P3,,,,,X,,,X,X,,DBCA Priority species.,
325,Lerista macropisthopus remota,unpatterned robust slider (Robertson Range),REPTILE,P2,,,X,X,,,,,,,DBCA Priority species.,
326,Lerista nevinae,Nevin's slider,REPTILE,EN,EN,,X,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
327,Lerista planiventralis maryani,Maryan's keeled slider (Ashburton),REPTILE,P1,,,X,,,,,,,,DBCA Priority species.,
328,Lerista praefrontalis,"Buccaneer burrowing skink, Yampi sandslider",REPTILE,P1,,X,,,,,,,,,DBCA Priority species.,"30/09/2022 Repeal of threatened listing, addition to priority list. "
329,Lerista puncticauda,dotty-tailed robust slider (Great Victoria Desert),REPTILE,P2,,,,X,,,,,,,DBCA Priority species.,
330,Lerista quadrivincula,four-lined slider (Karratha),REPTILE,P1,,,X,,,,,,,,DBCA Priority species.,
331,Lerista robusta,broad-eyed slider (Kimberley),REPTILE,P1,,X,,,,,,,,,DBCA Priority species.,
332,Lerista separanda,Dampierland plain slider,REPTILE,P2,,X,X,,,,,,,,DBCA Priority species.,
333,Lerista viduata,Ravensthorpe range slider,REPTILE,P1,,,,,,,X,,,,DBCA Priority species.,
334,Lerista yuna,Yuna broad-blazed slider,REPTILE,P3,,,,,X,,,,,,DBCA Priority species.,
335,Lewinia pectoralis clelandi,"Western Australian Lewin's rail, Lewin's rail (western)",BIRD,EX,EX,,,,,,X,,,,Extinct species under the Biodiversity Conservation Act 2016.,
336,Liagoceradocus branchialis,Cape Range liagoceradocus amphipod,INVERTEBRATE,EN,,,X,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
337,Liagoceradocus subthalassicus,Barrow Island liagoceradocus amphipod,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
338,Liasis olivaceus barroni,Pilbara olive python,REPTILE,VU,VU,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
339,Limicola falcinellus,broad-billed sandpiper,BIRD,MI,MI,X,X,,X,,X,X,X,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
340,Limnodromus semipalmatus,Asian dowitcher,BIRD,MI,MI,X,X,,X,,,,X,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
341,Limosa lapponica,bar-tailed godwit,BIRD,MI,MI,X,X,,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
342,Limosa lapponica baueri,bar-tailed godwit (Western Alaskan),BIRD,VU,VU,X,X,,X,X,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
343,Limosa lapponica menzbieri,bar-tailed godwit (Northern Siberian),BIRD,CR,CR,X,X,,X,,X,X,X,X,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
344,Limosa limosa,black-tailed godwit,BIRD,MI,MI,X,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
345,Liopholis kintorei,great desert skink,REPTILE,VU,VU,X,X,X,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
346,Liopholis pulchra longicauda,Jurien Bay skink,REPTILE,VU,VU,,,,X,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
347,Macroderma gigas,ghost bat,MAMMAL,VU,VU,X,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
348,Macronectes giganteus,southern giant petrel,BIRD,MI,EN & MI,,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
349,Macronectes halli,northern giant petrel,BIRD,MI,VU & MI,X,,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
350,Macrotis lagotis,"bilby, dalgyte, ninu",MAMMAL,VU,VU,X,X,X,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
351,Macrotis leucura,"lesser bilby, tjunpi",MAMMAL,EX,EX,X,X,,,,,,,,Extinct species under the Biodiversity Conservation Act 2016.,
352,Malurus coronatus coronatus,purple-crowned fairy-wren (western),BIRD,EN,EN,X,,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
353,Malurus lamberti bernieri,Shark Bay variegated fairy-wren,BIRD,VU,,,,,X,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
