taxonId,scientificName,vernacularName,WA Status,WA Rank,DBCA District,Distribution,taxonRemarks,status,sourceStatus,status description,class,category,sensitivityZoneId
20618,Baeckea sp. Nolba (M.E. Trudgen MET21632),,1,,Geraldton,"Nolba, Northampton",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
14309,Baeckea sp. Paynes Find (S. Patrick 1095),,1,,Geraldton,"Paynes Find, Warrdagga Rock, Ninghan Stn",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
20859,Baeckea sp. Upper Swan (Miss M. Eaton s.n. 1888),,1,,Perth Hills,? Northam,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
14731,Baeckea sp. Western Australia (J. Drummond s.n.),,1,,Geraldton,Binnu,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
28317,Baeckea sp. Youndegin Hill (A.S. George 15772),,1,,"Great Southern,Central Wheatbelt","Cunderdin, Tammin, Gnowangerup, Mt Cole, Wandoo NP",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
5366,Baeckea staminosa,,1,,Geraldton,"Greenough River, Eradu, Mullewa, Yuna",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51259,Balaustion baiocalyx,,1,,Central Wheatbelt,"Wongan Hills, Bencubbin, Koorda, Kalannie",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51260,Balaustion bimucronatum,,1,,Central Wheatbelt,Mukinbudin,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51257,Balaustion hemisphaericum,,1,,Geraldton,"Canna, Morawa,",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51267,Balaustion karroun,,1,,"Kalgoorlie,Central Wheatbelt","Wialki, Bonnie Rock, Diemals",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51269,Balaustion multicaule,,1,,Great Southern,Sheoaks Rocks,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51270,Balaustion polyandrum,,1,,Kalgoorlie,Jaurdi Station,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51277,Balaustion sp. North Ironcap (R.J. Cranfield 10580) PN,,1,,"Great Southern,Central Wheatbelt","North Ironcap, Forrestania, Lake Cronin",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51278,Balaustion sp. Yorkrakine (C.A. Gardner s.n. 09/1933) PN,,1,,Central Wheatbelt,Yorkrakine,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51272,Balaustion spenceri,,1,,Central Wheatbelt,"Westonia, Bullfinch",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51273,Balaustion tangerinum,,1,,Kalgoorlie,Diemals,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51275,Balaustion unguiculatum,,1,,Kalgoorlie,"Yacke Yackine Dam, Bullfinch",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
20231,Banksia rosserae,,1,,Geraldton,Mt Magnet,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
32093,Banksia rufa subsp. magna,,1,,Great Southern,"Nyabing, Wickepin, Dumbleyung",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
32012,Banksia sp. Boyup Brook (L.W. Sage LWS 2366),,1,,"Blackwood,Wellington","Wilga S.F., Collie",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
20164,Barbula ehrenbergii,,1,,Karratha,"Dale's Gorge, Hamersley Range",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
34258,Beyeria apiculata,,1,,Central Wheatbelt,Wongan Hills,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
34239,Beyeria constellata,,1,,Central Wheatbelt,Manmanning,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
34241,Beyeria disciformis,,1,,Central Wheatbelt,Wubin,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
34240,Beyeria lapidicola,,1,,Kalgoorlie,"Bulga Downs, Weld Range, Lake Way Stn.",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
19940,Beyeria opaca,,1,,Esperance,Noreseman,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
34262,Beyeria physaphylla,,1,,Esperance,Scaddan,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
34259,Beyeria rostellata,,1,,Kalgoorlie,"Mt Jackson, Koolyanobbing Range",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
48689,Bolboschoenus fluviatilis,,1,,Swan Coastal,"Bassendean, South Guildford, Langford, S.A., VIC, NSW, QLD.",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
14535,Bolboschoenus medianus,,1,,"Blackwood,Swan Coastal","Capel, Guilford, Eastern States",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
6604,Bonamia brevifolia,,1,,West Kimberley,Kununurra,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
19181,Boronia anomala,,1,,East Kimberley,Near Kalumburu,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
45656,Boronia cremnophila,,1,,East Kimberley,East  of Mt Russ,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
19520,Boronia crenulata subsp. Shark Bay (G. Cockerton 5187),,1,,Geraldton,Shark Bay,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
16618,Boronia humifusa,,1,,"Blackwood,Perth Hills","Capel, Tutunup, Kalamunda",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
17753,Boronia jucunda,,1,,East Kimberley,Mabel Downs,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
16633,Boronia juncea subsp. juncea,,1,,"Blackwood,Swan Coastal","Myalup, Wellard",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
45654,Boronia marcoana,,1,,East Kimberley,"Lawley River, King Edward River",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
45653,Boronia thedae,,1,,East Kimberley,Theda Station,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
48822,Borya stenophylla,,1,,West Kimberley,Charnley River Stn.,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
30235,Bossiaea arcuata,,1,,Esperance,Norseman,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
30237,Bossiaea aurantiaca,,1,,Esperance,Norseman,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
30255,Bossiaea saxosa,,1,,Esperance,Norseman,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
16355,Bothriochloa decipiens var. cloncurrensis,,1,,Karratha,"Hamersley Range, Quennsland",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
17697,Brachyloma delbi,,1,,Great Southern,Kulin,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
17667,Brachyloma nguba,,1,,"Esperance,Great Southern","Forrestania, Dragon Rocks, NW of Munglinup",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
44681,Brachyloma stenolobum,,1,,Central Wheatbelt,Forrestania,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
41727,Brunoniella acaulis subsp. acaulis,,1,,West Kimberley,"Mitchell Plateau, Drysdale River Stn., NT",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
9061,Buchanania arborescens,,1,,East Kimberley,Mt Anderson,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
48806,Buellia durackensis,,1,,East Kimberley,Durack River Stn.,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
33487,Byblis guehoi,,1,,West Kimberley,Dampier Peninsula,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
50144,Caesia arcuata,,1,,Albany,Hopetoun,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
1275,Caesia chlorantha,,1,,East Kimberley,Kununurra,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
1278,Caesia rigidifolia,,1,,Kalgoorlie,Queen Victoria Spring,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
1279,Caesia setifera,,1,,East Kimberley,"Theda Stn, Mitchell Plateau",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
29183,Caesia sp. Ennuin (N. Gibson & M.N. Lyons 2737),,1,,Central Wheatbelt,Ennuin,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
29912,Caesia sp. Koolanooka Hills (R. Meissner & Y. Caruso 78),,1,,Geraldton,Perenjori,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
44897,Caladenia bigeminata,,1,,Geraldton,Northhampton,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
13855,Caladenia caesarea subsp. transiens,,1,,Great Southern,"Williams, [Newdegate], [Augusta], [Bowelling]",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
1583,Caladenia cristata,,1,,"Moora,Central Wheatbelt",Miling-Dalwallinu,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
44909,Caladenia denticulata subsp. albicans,,1,,Moora,Arrowsmith,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
18039,Caladenia dundasiae,,1,,Moora,Watheroo,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
14313,Caladenia evanescens,,1,,Frankland,Peaceful Bay,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
44902,Caladenia longicauda subsp. extrema,,1,,Donnelly,Manjimup,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
44908,Caladenia longicauda subsp. insularis,,1,,Esperance,Wharton,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
17929,Caladenia longifimbriata,,1,,Esperance,"Oldfield River, Munglinup",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
18034,Caladenia pholcoidea subsp. augustensis,,1,,Blackwood,Augusta,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
13863,Caladenia uliginosa subsp. patulens,,1,,"Blackwood,Donnelly,Wellington","Harvey, Nannup, Kingston",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
44898,Caladenia validinervia,,1,,Donnelly,Lake Muir,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
48178,Caladenia x hopperi,,1,,Central Wheatbelt,Pithara,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
44479,Calandrinia butcherensis,,1,,Geraldton,Murchison,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
48774,Calandrinia lefroyensis,,1,,Kalgoorlie,Lake Lefroy,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
43640,Calandrinia mirabilis,,1,,Geraldton,"Landor Stn., Mt Clere Stn.",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
41984,Calandrinia operta,,1,,Shark Bay,Shark Bay,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
48773,Calandrinia quartzitica,,1,,Kalgoorlie,"Lake Goongarrie, Lake Raeside, Lake Moriarty, Leonora",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51048,Calandrinia sp. Bayswater (C. Andrews s.n. 11/1902) PN,,1,,Swan Coastal,Bayswater,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
50644,Calandrinia sp. Berry Springs (M.O. Parker 855) PN,,1,,East Kimberley,"Mary Island, Coronation Island",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
48245,Calandrinia sp. Boolardy Station (P. Jayasekara 719-JHR-01),,1,,Geraldton,Boolardy Stn.,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
50523,Calandrinia sp. Hamelin Station (F. Obbens FO 02/20) PN,,1,,Shark Bay,Hamlin Pool,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51047,Calandrinia sp. Lennard River (W.V. Fitzgerald 739) PN,,1,,"East Kimberley,West Kimberley","Mt Herbert, Tableland",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51166,Calandrinia sp. Mt Vernon Station (T.L. Setter 427) PN,,1,,Exmouth,Mt Vernon Station,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
49055,Calandrinia sp. Nanutarra (F. Obbens FO 08/18),,1,,Exmouth,Marrilla,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
41983,Calandrinia umbelliformis,,1,,Geraldton,"Coolcalalaya Hms, Burnabinmah Stn, Gilroyd Hms, Yallalong",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
49562,Calandrinia uncinella,,1,,Central Wheatbelt,"Piawaning, Arthur River",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
30433,Calochilus sp. Boyup Brook (E. Chapman s.n. 12/10/2002),,1,,Blackwood,Boyup Brook,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
35800,Calothamnus roseus,,1,,Albany,Kundip,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
13232,Calothamnus superbus,,1,,Kalgoorlie,Pigeon Rocks,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
13231,Calotis squamigera,,1,,Karratha,"Wittenoom, Hamersley Range",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
16491,Calycopeplus collinus,,1,,"East Kimberley,West Kimberley","Kununurra, Beverley Springs Stn.",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51290,Calytrix djinda,,1,,Albany,CAPE RICHE,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
19977,Calytrix ecalycata subsp. pubescens,,1,,Moora,Moora,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
48449,Calytrix retrorsifolia,,1,,Blackwood,"Tutunup, Williamson",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
13656,Calytrix simplex subsp. simplex,,1,,Swan Coastal,"Armadale, Mt Saddleback",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
49009,Calytrix sp. Learmonth (S. Fox EMopp 1),,1,,Exmouth,Exmouth,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
48744,Camonea pilosa,,1,,West Kimberley,"Walcott Inlet, NT, QLD.",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
48324,Chamaescilla maculata,,1,,"Moora,Geraldton","West Binnu, Hill River",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
49652,Chamelaucium repens,,1,,Geraldton,"Tardun, Mingenew",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
33420,Chamelaucium sp. Bunjil (M.E. Ballingall 1970),,1,,Moora,Carnamah,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
14262,Chamelaucium sp. Coolcalalaya (A.H. Burbidge 4233),,1,,Geraldton,"Coolcalalaya, Murchison House Stn",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
35623,Chamelaucium sp. Koolyanobbing (V. Clarke 644),,1,,Kalgoorlie,"Helena & Aurora Range, Bungalbin Hill",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
35622,Chamelaucium sp. Mt Heywood (K. Newbey 7954),,1,,Esperance,Esperance,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
38342,Chamelaucium sp. Mukinbudin (M. Squire 007),,1,,Central Wheatbelt,Mukinbudin,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
38341,Chamelaucium sp. Parker Range (B.H. Smith 1255),,1,,Central Wheatbelt,Parker Range,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
42581,Chamelaucium sp. Tenindewa (F. Lullfitz L 3219),,1,,"Moora,Geraldton","Coorow, Geraldton",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
32016,Chamelaucium sp. Warriedar (A.P. Brown & S. Patrick APB 1100),,1,,Geraldton,"Warriedar Stn, Karara Stn, Paynes Find",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
14728,Chamelaucium sp. Yalgoo (Y. Chadwick 1816),,1,,Geraldton,"Paynes Find, Wurarga",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
12617,Chthonocephalus oldfieldianus,,1,,"Kalgoorlie,Geraldton","Meadow Station, Lorna Glen",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
6730,Clerodendrum inerme,,1,,East Kimberley,"Bouganville Peninsula, Cape Rulhieres, NT",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
42280,Cochlospermum macnamarae,,1,,Karratha,Newman,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
14130,Colubrina asiatica var. asiatica,,1,,East Kimberley,"Koolama Bay, NT, Qld, O.S.",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
49310,Comesperma minutum,,1,,East Kimberley,Karunjie Stn.,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
45742,Commelina roensis,,1,,East Kimberley,Kiska Is.,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
14721,Conospermum coerulescens subsp. coerulescens,,1,,Albany,"Bremer Bay, Cape Knob, Stirling Range NP",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
51286,Conostephium wonganense,,1,,Great Southern,"Konnongorring, Manmanning",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
11807,Conostylis caricina subsp. elachys,,1,,"Perth Hills,Central Wheatbelt","Gunyidi, Goomalling, Dowerin, Bindoon",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
50750,Convolvulus pyrophilus,,1,,Esperance,"E of Lake King, N and S of Cascade",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
14528,Corchorus capsularis,,1,,East Kimberley,"St George Basin, SE Asia",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
41580,Corchorus sp. Yarrie (J. Bull & D. Roberts CAL 01.05),,1,,Karratha,Marble Bar,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
31773,Corymbia cadophora subsp. polychroma,,1,,East Kimberley,Ragged Range,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
16755,Corymbia chlorolampra,,1,,Moora,"Mt Lesueur, Gairdner Range",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
16789,Corymbia paractia,,1,,West Kimberley,"Broome, Cable Beach, Cape Boileau",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
16752,Corymbia pedimontana,,1,,West Kimberley,Fairfield Stn.,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
34683,Corymbia sp. Yampi Peninsula (R.L. Barrett & A.N. Start RLB 2280),,1,,West Kimberley,Yampi Peninsula,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
8789,Corynotheca acanthoclada,,1,,"Geraldton,Shark Bay","Greenough, Kalbarri, Yandanooka, Tamala",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
1492,Crinum uniflorum,,1,,"East Kimberley,West Kimberley","Mitchell Plateau, Charnley River Stn.",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
16330,Crotalaria quinquefolia,,1,,East Kimberley,"Kalumburu, Doongan Stn., QLD",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
13746,Croton arnhemicus,,1,,East Kimberley,"Doongan Stn., Wyndham, NT",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
31613,Cryptandra craigiae,,1,,Albany,Hopetoun,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
31615,Cryptandra exserta,,1,,Esperance,"Hatter Hill, Near Desmond",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
31572,Cryptandra pendula,,1,,Geraldton,Allanooka,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
16192,Cryptandra polyclada subsp. aequabilis,,1,,Kalgoorlie,Boorabbin,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
48257,Cucumis sp. Bastion Range (A.A. Mitchell et al. AAM 10710),,1,,"East Kimberley,West Kimberley","Wyndham, Napier Range",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
17435,Cullen candidum,,1,,West Kimberley,"Gogo Station, Fitzroy Crossing, One Arm Point",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
42100,Cyanicula sp. Esperance (G. Brockman 735),,1,,Esperance,Munglinup,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
50108,Cyanothamnus baeckeaceus subsp. patulus,,1,,Esperance,"Mt Ney, Mt Heywood, Mt Burdett",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
44082,Cyathostemon divaricatus,,1,,Kalgoorlie,"Red Hill, Kambalda",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
28316,Cyathostemon sp. Dowak (J.M. Fox 86/271),,1,,Esperance,Dowak,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
43962,Cyathostemon sp. Esperance (A. Fairall 2431),,1,,Esperance,"Esperance, Dowak, Norseman",,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
30798,Cyathostemon sp. Red Roo Rock (G.F. Craig 6896),,1,,Esperance,Norseman,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
13338,Cynanchum christineae,,1,,East Kimberley,Mitchell  Platreau,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
28313,Cyperus digitatus,,1,,East Kimberley,Ord River,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
19668,Cyperus haspan subsp. haspan,,1,,West Kimberley,Dampier Peninsula,,Priority 1: Poorly-known species,P1,"Priority 1: Poorly-known species - known from few locations, none on conservation lands",,P1,WA
